 Types of current institution you are studying-,Gender,Current age in year,What is the name of your institution?,What class are you read in? ,What is your study group?,"Do you think if the course load will less/more than the current courses, your performance would be better/worst?",How many students in your in your SSC/ HSC/ Dhakil/ Alim class? ,Does anyone studied in madrasa from your family?,Who studied madrasa from your family members?,Is that your parents choice that is why you are studying in school/ Madrasa ?,What was your cost admitting to School/Madrasa/college?,What is your monthly fee in your school/Madrasa? ,What is your monthly fee in your school/Madrasa? .1,What is your father's profession?,What is your parents education status?,What is your mothers profession?,what types of house you are living?,In which subject you are more interested to study in your school/Madrasa? ,"According to your last year performance, in which subject you did very well? ",What is your marks range in mathematics for science/ict for Arts/ commerce(information and communications technology) from your last year final exam ? ) ,What is your marks range in English from your last year final exam ? ,"What was your ""JSC"" /JDC result?","If you are a ALIM/HSC student ,what was your SSC/ DAKHIL result?",Are you satisfied with your Math/Ict performance ? ,Are you satisfied with your English performance ? ,Do you speak English ? ,Do you think madrasa education system is better than school/College education system?(আপনি কি স্কুল শিক্ষা ব্যবস্থার চেয়ে মাদ্রাসা শিক্ষা ব্যবস্থাকে ভালো মনে করেন?),Do you have any intention to study at University (General Education) ? ,Did you participate in the Annual Math competition in your school/Madrasa?,Did you participate in the Annual  English writing competition in your school/Madrasa? ,How many hours you are doing  work(job) beside your study? ,During covid-19 did you study Math and English at your home? , Do you study Math and English to your private tutor?,Your private Tuition fee amount,"What strategy might be improving your Math and English skill, you think?",Did you study madrasa earlier?
Madrasa,Female (মহিলা),16,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Arts( কলা),"Depending on my study effort, more/less subjects doesn't matter to perform well in the exam.",57,No,No one,My parents choice that's why I am studying in Madrasa (আমার বাবা-মায়ের ইচ্ছা তাই আমি মাদরাসায় পড়ছি),1000-2000Taka,100-300 Taka,170-200,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),"Studied in school,colleges",Housewife (গৃহিণী),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),English (ইংরেজি),Religious  (ধর্মীয়),30-50%,50-70%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,No (না),No (না),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),I have studied other subject not Math at all. (আমি গণিত নয় অন্য বিষয়ে পড়াশোনা করেছি।),I am using an online platform and a private tutor both(আমি একটি অনলাইন প্ল্যাটফর্ম এবং একটি প্রাইভেট টিউটর উভয়ই ব্যবহার করছি),500,If my teacher gives me more time on these subject my skill will be improved (আমার শিক্ষক যদি আমাকে এই বিষয়ে আরও সময় দেন তবে আমার দক্ষতার উন্নতি হবে),
Madrasa,Female (মহিলা),18,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Arts( কলা),If i have less courses like general education I would do better in Madrasa.,57,No,Relatives,My parents choice that's why I am studying in Madrasa (আমার বাবা-মায়ের ইচ্ছা তাই আমি মাদরাসায় পড়ছি),1000-2000Taka,100-300 Taka,170-200,Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),Math (গণিত),Religious  (ধর্মীয়),30-50%,50-70%,B,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),No (না),I am afraid of English (আমি ইংরেজিকে ভয় পাই),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),No(না),800,If my teacher gives me more time on these subject my skill will be improved (আমার শিক্ষক যদি আমাকে এই বিষয়ে আরও সময় দেন তবে আমার দক্ষতার উন্নতি হবে),
Madrasa,Female (মহিলা),19,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Arts( কলা),I have more courses that why I could not do well in my exam,57,Yes,Sister,"comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,170-200,Professor(অধ্যাপক),studied in Madrasa,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),Roof house made of bricks ( ইট দিয়ে তৈরি  ছাদের বাড়ি),Math (গণিত),Math  (গণিত),90-100%,90-100%,A+,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),Yes (হ্যাঁ),I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),I have studied other subject not Math at all. (আমি গণিত নয় অন্য বিষয়ে পড়াশোনা করেছি।),I am using an online platform and a private tutor both(আমি একটি অনলাইন প্ল্যাটফর্ম এবং একটি প্রাইভেট টিউটর উভয়ই ব্যবহার করছি),500,I have to give more time on my self to improve my skill (আমার দক্ষতা উন্নত করার জন্য আমাকে নিজের উপর আরও সময় দিতে হবে),
Madrasa,Male (পুরুষ),16,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),I have more courses that why I could not do well in my exam,57,Yes,Mother,"comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,170-200,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),studied in Madrasa,Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),Bangla  (বাংলা),30-50%,50-70%,A-,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),I don't understand the way my teacher teaching me English. (আমার শিক্ষক যেভাবে আমাকে ইংরেজি শেখাচ্ছেন তা আমি বুঝতে পারছি না।),No (না),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),I have studied other subject not Math at all. (আমি গণিত নয় অন্য বিষয়ে পড়াশোনা করেছি।),No(না),0,Our teacher should be trained (আমাদের শিক্ষকদের প্রশিক্ষণ দেওয়া উচিত),
Madrasa,Female (মহিলা),18,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),"Depending on my study effort, more/less subjects doesn't matter to perform well in the exam.",57,No,No one,My parents choice that's why I am studying in Madrasa (আমার বাবা-মায়ের ইচ্ছা তাই আমি মাদরাসায় পড়ছি),1000-2000Taka,100-300 Taka,170-200,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),"Studied in school,colleges",Housewife (গৃহিণী),complete Tin house (সম্পূর্ণ টিনের ঘর),Religious (ধর্মীয়),Religious  (ধর্মীয়),30-50%,30-50%,B,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),I don't understand the way my teacher teaching me English. (আমার শিক্ষক যেভাবে আমাকে ইংরেজি শেখাচ্ছেন তা আমি বুঝতে পারছি না।),I am afraid of English (আমি ইংরেজিকে ভয় পাই),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Not that much (অত বেশি না),No(না),0,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher(আমার দক্ষতা বাড়াতে আমাকে প্রাইভেট টিউটর নিতে হবে কারণ আমি আমার স্কুল/মাদ্রাসার শিক্ষককে ভয় পাই),
Madrasa,Male (পুরুষ),18,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),I have more courses that why I could not do well in my exam,Goyespur darul ulum fazil madrasa,No,No one,"comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,170-200,Farmer (কৃষক),"Studied in school,colleges",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),Religious (ধর্মীয়),Religious  (ধর্মীয়),30-50%,50-70%,B,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),I don't understand the way my teacher teaching me English. (আমার শিক্ষক যেভাবে আমাকে ইংরেজি শেখাচ্ছেন তা আমি বুঝতে পারছি না।),No (না),Yes (হ্যাঁ),Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),"I am using online platform(Facebook, YouTube) instead of learning from private tutor(আমি প্রাইভেট টিউটরের কাছ থেকে শেখার পরিবর্তে অনলাইন প্ল্যাটফর্ম (ফেস বুক, ইউটিউব) ব্যবহার করছি)",0,Our teacher should be trained (আমাদের শিক্ষকদের প্রশিক্ষণ দেওয়া উচিত),
Madrasa,Female (মহিলা),16,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),"Depending on my study effort, more/less subjects doesn't matter to perform well in the exam.",57,Yes,"Brother, Relatives","comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,170-200,Doctor (ডাক্তার),"Studied in school,colleges",Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),Roof house made of bricks ( ইট দিয়ে তৈরি  ছাদের বাড়ি),Math (গণিত),English (ইংরেজি),90-100%,90-100%,A+,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Yes (হ্যাঁ),I am using an online platform and a private tutor both(আমি একটি অনলাইন প্ল্যাটফর্ম এবং একটি প্রাইভেট টিউটর উভয়ই ব্যবহার করছি),700,Our teacher should be trained (আমাদের শিক্ষকদের প্রশিক্ষণ দেওয়া উচিত),
Madrasa,Male (পুরুষ),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),I have more courses that why I could not do well in my exam,57,Yes,Sister,"comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,150-200,High school Teacher (উচ্চ বিদ্যালয়ের শিক্ষক),"Studied in school,colleges",Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),Roof house made of bricks ( ইট দিয়ে তৈরি  ছাদের বাড়ি),Math (গণিত),English (ইংরেজি),90-100%,90-100%,A+,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),Yes (হ্যাঁ),Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Yes (হ্যাঁ),Yes  (হ্যাঁ),1300,If my teacher gives me more time on these subject my skill will be improved (আমার শিক্ষক যদি আমাকে এই বিষয়ে আরও সময় দেন তবে আমার দক্ষতার উন্নতি হবে),
Madrasa,Female (মহিলা),18,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),"Depending on my study effort, more/less subjects doesn't matter to perform well in the exam.",57,Yes,"Sister, Brother","comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,150-200,Professor(অধ্যাপক),studied in Madrasa,Housewife (গৃহিণী),Roof house made of bricks ( ইট দিয়ে তৈরি  ছাদের বাড়ি),English (ইংরেজি),English (ইংরেজি),70-90%,90-100%,A+,A+,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),0-5 hours,Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),1000,Our teacher should be trained (আমাদের শিক্ষকদের প্রশিক্ষণ দেওয়া উচিত),
Madrasa,Female (মহিলা),18,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),"Depending on my study effort, more/less subjects doesn't matter to perform well in the exam.",57,Yes,Brother,"comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,170-200,Whole seller-Big Business man (পাইকারী বিক্রেতা),"Studied in school,colleges",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),Bangla  (বাংলা),30-50%,50-70%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,No (না),I don't understand the way my teacher teaching me English. (আমার শিক্ষক যেভাবে আমাকে ইংরেজি শেখাচ্ছেন তা আমি বুঝতে পারছি না।),I am afraid of English (আমি ইংরেজিকে ভয় পাই),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Not that much (অত বেশি না),No(না),0,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher(আমার দক্ষতা বাড়াতে আমাকে প্রাইভেট টিউটর নিতে হবে কারণ আমি আমার স্কুল/মাদ্রাসার শিক্ষককে ভয় পাই),
Madrasa,Male (পুরুষ),16,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),"Depending on my study effort, more/less subjects doesn't matter to perform well in the exam.",57,Yes,Relatives,My parents choice that's why I am studying in Madrasa (আমার বাবা-মায়ের ইচ্ছা তাই আমি মাদরাসায় পড়ছি),1000-2000Taka,100-300 Taka,150-200,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),"Studied in school,colleges",Housewife (গৃহিণী),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),English (ইংরেজি),English (ইংরেজি),50-70%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,No (না),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Not that much (অত বেশি না),I am using an online platform and a private tutor both(আমি একটি অনলাইন প্ল্যাটফর্ম এবং একটি প্রাইভেট টিউটর উভয়ই ব্যবহার করছি),700,Our teacher should be trained (আমাদের শিক্ষকদের প্রশিক্ষণ দেওয়া উচিত),
Madrasa,Female (মহিলা),18,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),I have more courses that why I could not do well in my exam,57,Yes,Sister,"comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,150-200,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),studied in Madrasa,Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),Religious  (ধর্মীয়),50-70%,50-70%,A-,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),No (না),No (না),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),No (না),"I am using online platform(Facebook, YouTube) instead of learning from private tutor(আমি প্রাইভেট টিউটরের কাছ থেকে শেখার পরিবর্তে অনলাইন প্ল্যাটফর্ম (ফেস বুক, ইউটিউব) ব্যবহার করছি)",0,I have to give more time on my self to improve my skill (আমার দক্ষতা উন্নত করার জন্য আমাকে নিজের উপর আরও সময় দিতে হবে),
Madrasa,Female (মহিলা),17,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),"Depending on my study effort, more/less subjects doesn't matter to perform well in the exam.",57,Yes,"Sister, Brother","comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,150-200,Small business man (ছোট ব্যবসায়ী),"Used to go in maktab ,after certain ages didnot continue study",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),Religious (ধর্মীয়),Religious  (ধর্মীয়),50-70%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,No (না),No (না),Yes  (হ্যাঁ),No(না),I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),I have studied other subject not Math at all. (আমি গণিত নয় অন্য বিষয়ে পড়াশোনা করেছি।),Yes  (হ্যাঁ),500,If my teacher gives me more time on these subject my skill will be improved (আমার শিক্ষক যদি আমাকে এই বিষয়ে আরও সময় দেন তবে আমার দক্ষতার উন্নতি হবে),
Madrasa,Male (পুরুষ),19,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),I have more courses that why I could not do well in my exam,57,Yes,Mother,"comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,150-200,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),studied in Madrasa,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),English (ইংরেজি),English (ইংরেজি),30-50%,70-90%,A,currently i am studying in class 10,No (না),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),Yes (হ্যাঁ),Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),700,I have to give more time on my self to improve my skill (আমার দক্ষতা উন্নত করার জন্য আমাকে নিজের উপর আরও সময় দিতে হবে),
Madrasa,Female (মহিলা),18,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),If i have less courses like general education I would do better in Madrasa.,47,No,No one,My parents choice that's why I am studying in Madrasa (আমার বাবা-মায়ের ইচ্ছা তাই আমি মাদরাসায় পড়ছি),1000-2000Taka,100-300 Taka,150-200,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),"Studied in school,colleges",Housewife (গৃহিণী),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),Bangla(বাংলা),Religious  (ধর্মীয়),30-50%,50-70%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,No (না),I don't understand the way my teacher teaching me English. (আমার শিক্ষক যেভাবে আমাকে ইংরেজি শেখাচ্ছেন তা আমি বুঝতে পারছি না।),I am afraid of English (আমি ইংরেজিকে ভয় পাই),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),"I am using online platform(Facebook, YouTube) instead of learning from private tutor(আমি প্রাইভেট টিউটরের কাছ থেকে শেখার পরিবর্তে অনলাইন প্ল্যাটফর্ম (ফেস বুক, ইউটিউব) ব্যবহার করছি)",0,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher(আমার দক্ষতা বাড়াতে আমাকে প্রাইভেট টিউটর নিতে হবে কারণ আমি আমার স্কুল/মাদ্রাসার শিক্ষককে ভয় পাই),
Madrasa,Female (মহিলা),16,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),I have more courses that why I could not do well in my exam,57,Yes,"Sister, Brother","comparatively Cost is lower  ,that is why i am studying in Madrasa (তুলনামূলকভাবে খরচ কম, তাই আমি মাদরাসায় পড়ছি)",1000-2000Taka,100-300 Taka,150-200,Primary school Teacher (প্রাথমিক স্কুল শিক্ষক),studied in Madrasa,Housewife (গৃহিণী),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),Religious (ধর্মীয়),Religious  (ধর্মীয়),30-50%,50-70%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),No (না),I am afraid of English (আমি ইংরেজিকে ভয় পাই),"Even though I am studying in Madrasa, i mostly prefer school education system.(যদিও আমি মাদ্রাসায় পড়ি, আমি বেশিরভাগ স্কুল শিক্ষা ব্যবস্থা পছন্দ করি)",I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Not that much (অত বেশি না),No(না),0,If my teacher gives me more time on these subject my skill will be improved (আমার শিক্ষক যদি আমাকে এই বিষয়ে আরও সময় দেন তবে আমার দক্ষতার উন্নতি হবে),
